bundle_id,bundle_name,bundle_type_id
8231,Продажа недвижимости в РФ/в других странах,1
8232,Оказание услуг (Риэлтор),1
8233,Продажа квартир (Риэлтор),1
8234,Организация сделок/процессов (Риэлтор),1
8235,Работа в литейном цехе,1
8236,Обслуживание формовочного оборудования,1
8023,внедрение эффективных методов развития животноводства,1
8237,Документирование требований к бизнес-процессам,1
8256,Моделирование,1
8150,Знание систем электроснабжения,2
8169,Опыт работы с проектной и технической документацией,9
8095,Выезд на место поломки,1
8096,Выполнять подготовку научных публикаций,1
8504,Проводить заселение суточных цыплят,1
7859,Time series analysis (признаки требований),7
8155,Уметь оформлять информационные стенды,1
7803,Сбор документов (Риэлтор),1
7397,"Знание устройства, назначения и принципов работы дорожно-строительной техники",2
