is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Личные установки и ценности, мировоззрение (2043_4)","Ответственность , добросовестность (СК) (614_4)",Пунктуальность (СК) (612_4),Навыки по техническому обслуживанию транспортных средств соответствующей категории (без привязки) (1851_28),"Осуществление пассажирских перевозок (автобус, троллейбус, трамвай) (1853_28)",Дисциплинированность (СК) (593_4),Соблюдение правил дорожного движения (1847_28),"Общие знания (водитель трамвая, троллейбуса, трамвая) (1875_28)","Навыки, несвойственные водителю автобуса, троллейбуса, трамвая ( управление автомобилем) (1858_28)","Оформление путевой документации (водители автобуса, троллейбуса, трамвая) (1862_28)",Соблюдение графика движения автобуса по маршруту (1866_28),Знание устройств и технического обслуживания автобуса (1905_28),Выполнение поручений руководителя (ОПТ) (3036_36),Навыки по техническому обслуживанию  автобуса (1910_28),Внимательность (СК) (536_4),Выполнение ремонтных работ (ОПТ) (8285_36),"Вождение транспортных средств (без привязки к автобусу, троллейбусу, трамваю) (1902_28)",Вежливость (СК) (581_4),Вождение автобуса (1899_28),Доброжелательность (СК) (1126_4),Знание правил дорожного движения (1856_28),Воспитанность (СК) (585_4),Стрессоустойчивость (СК) (601_4),Знание устройств и технического обслуживания транспортных средств( без привязки) (1908_28),Целеустремленность (СК) (588_4)
False,2.0,Республика Адыгея,1,False,16242.0,26000.0,3323.0337,2880.774,2718.4769,2203.1835,1870.4744,1809.613,1541.8227,1014.3571,945.3808,888.5768,697.8777,665.4182,620.7865,576.1548,515.2934,478.7765,474.7191,446.3171,442.2597,421.9725,409.8002,344.8814,288.0774,215.0437,206.9288
False,2.0,Город федерального значения Москва,0,False,21535.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
False,2.0,Город федерального значения Москва,0,True,45000.0,45000.0,5751.4045,4985.9551,4705.0562,3813.2022,3237.3596,3132.0225,2668.5393,1755.618,1636.236,1537.9213,1207.8652,1151.6854,1074.4382,997.191,891.8539,828.6517,821.6292,772.4719,765.4494,730.3371,709.2697,596.9101,498.5955,372.191,358.1461
False,2.0,Город федерального значения Санкт-Петербург,0,False,4200.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
False,2.0,Город федерального значения Санкт-Петербург,0,True,24000.0,48500.0,6198.736,5373.7516,5071.005,4109.7846,3489.1542,3375.6242,2876.0924,1892.166,1763.4988,1657.5375,1301.8102,1241.2609,1158.0056,1074.7503,961.2203,893.1024,885.5337,832.5531,824.9844,787.1411,764.4351,643.3365,537.3752,401.1392,386.0019
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,29250.0,103000.0,13164.3258,11412.2971,10769.3508,8727.9963,7409.9563,7168.8514,6107.99,4018.4145,3745.1623,3520.1311,2764.6692,2636.0799,2459.2697,2282.4594,2041.3546,1896.6916,1880.618,1768.1024,1752.0287,1671.6604,1623.4395,1366.2609,1141.2297,851.9039,819.7566
False,2.0,Тюменская область,1,False,33750.0,110000.0,14058.9888,12187.8901,11501.2484,9321.161,7913.5456,7656.0549,6523.0961,4291.5106,3999.6879,3759.3633,2952.5593,2815.231,2626.4045,2437.578,2180.0874,2025.593,2008.427,1888.2647,1871.0986,1785.2684,1733.7703,1459.1136,1218.789,909.8002,875.4682
False,2.0,Тюменская область,1,True,34875.0,34875.0,4457.3385,3864.1152,3646.4185,2955.2317,2508.9537,2427.3174,2068.118,1360.6039,1268.0829,1191.889,936.0955,892.5562,832.6896,772.823,691.1868,642.2051,636.7626,598.6657,593.2233,566.0112,549.684,462.6053,386.4115,288.448,277.5632
False,2.0,Красноярский край,1,False,30000.0,130000.0,16615.1685,14403.8702,13592.3845,11015.9176,9352.372,9048.0649,7709.1136,5071.7853,4726.9039,4442.8839,3489.3883,3327.0911,3103.9326,2880.774,2576.4669,2393.8826,2373.5955,2231.5855,2211.2984,2109.8627,2049.0012,1724.407,1440.387,1075.2185,1034.6442
False,2.0,Красноярский край,1,True,74000.0,74000.0,9457.8652,8199.1261,7737.2035,6270.5993,5323.6579,5150.437,4388.2647,2887.0162,2690.6991,2529.0262,1986.2672,1893.8826,1766.8539,1639.8252,1466.6042,1362.6717,1351.1236,1270.2871,1258.7391,1200.9988,1166.3546,981.5855,819.9126,612.0474,588.9513
