is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Организаторские способности, лидерство (СК) (393_4)",Консультирование по медицинским услугам (2185_33),Составление и контроль графика приема пациентов (2186_33),Командность (СК) (1371_4),"Ответственность , добросовестность (СК) (614_4)",Клиентоцентричность (клиенториентированность) (СК) (626_4),Исходящие звонки (3581_33),Стрессоустойчивость (СК) (601_4),Внимательность (СК) (536_4),Английский язык (ЯС) (1918_32),"Восприятие, мышление, внимание, память (УСК) (1330_4)",Пунктуальность (СК) (612_4),Вежливость (СК) (581_4)
False,1.0,Смоленская область,1,False,18500.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Волгоградская область,2,False,15000.0,35000.0,3908.6294,3517.7665,3482.2335,2878.1726,2700.5076,2558.3756,2487.3096,2487.3096,2451.7766,2451.7766,2167.5127,2060.9137,1847.7157
False,1.0,Волгоградская область,2,True,30000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Карелия,1,False,18000.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
False,1.0,Курская область,2,False,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Астраханская область,1,False,15000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Курганская область,1,False,20000.0,40000.0,4467.0051,4020.3046,3979.6954,3289.3401,3086.2944,2923.8579,2842.6396,2842.6396,2802.0305,2802.0305,2477.1574,2355.3299,2111.6751
False,1.0,Кабардино-Балкарская Республика,1,False,17000.0,20000.0,2233.5025,2010.1523,1989.8477,1644.6701,1543.1472,1461.9289,1421.3198,1421.3198,1401.0152,1401.0152,1238.5787,1177.665,1055.8376
False,1.0,Тамбовская область,2,False,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Адыгея,1,False,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Адыгея,1,True,30000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Республика Мордовия,1,False,20000.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
False,1.0,Псковская область,1,False,20000.0,30000.0,3350.2538,3015.2284,2984.7716,2467.0051,2314.7208,2192.8934,2131.9797,2131.9797,2101.5228,2101.5228,1857.868,1766.4975,1583.7563
False,1.0,Красноярский край,1,False,15000.0,55000.0,6142.132,5527.9188,5472.0812,4522.8426,4243.6548,4020.3046,3908.6294,3908.6294,3852.7919,3852.7919,3406.0914,3238.5787,2903.5533
False,1.0,Красноярский край,1,True,27000.0,27000.0,3015.2284,2713.7056,2686.2944,2220.3046,2083.2487,1973.6041,1918.7817,1918.7817,1891.3706,1891.3706,1672.0812,1589.8477,1425.3807
