is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Укладка плитки (250_10),"Личные установки и ценности, мировоззрение (2043_4)",Аккуратность (СК) (575_4),"Облицовка плиткой (стены, потолки и прочие конструкции) (818_10)",Командность (СК) (1371_4),Подготовка к облицовке плиткой (815_10),Нравственность (СК) (622_4),Коммуникабельность (СК) (617_4),Высокая работоспособность (СК) (586_4),Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Выполнение ремонтных работ (ОПТ) (8285_36),Трудолюбие (СК) (597_4)
False,2.0,Ростовская область,0,False,16250.0,63000.0,14486.7167,9569.7216,6598.7034,6566.6709,6542.6465,3843.9049,3203.2541,1793.8223,1761.7898,1713.7409,1633.6596,1521.5457,1505.5294,1433.4562,824.8379
False,2.0,Калужская область,1,False,27500.0,75000.0,17246.0913,11392.5257,7855.5993,7817.4654,7788.8649,4576.0773,3813.3977,2135.5027,2097.3688,2040.1678,1944.8328,1811.3639,1792.2969,1706.4955,981.9499
False,2.0,Московская область,2,False,24000.0,150000.0,34492.1825,22785.0515,15711.1987,15634.9307,15577.7298,9152.1546,7626.7955,4271.0055,4194.7375,4080.3356,3889.6657,3622.7279,3584.5939,3412.991,1963.8998
False,2.0,Ульяновская область,1,False,25000.0,63000.0,14486.7167,9569.7216,6598.7034,6566.6709,6542.6465,3843.9049,3203.2541,1793.8223,1761.7898,1713.7409,1633.6596,1521.5457,1505.5294,1433.4562,824.8379
False,2.0,Республика Башкортостан,0,False,16000.0,91500.0,21040.2313,13898.8814,9583.8312,9537.3077,9502.4152,5582.8143,4652.3452,2605.3133,2558.7899,2489.0047,2372.6961,2209.864,2186.6023,2081.9245,1197.9789
False,2.0,Краснодарский край,0,False,20000.0,200000.0,45989.5767,30380.0686,20948.2649,20846.5743,20770.3063,12202.8728,10169.0606,5694.674,5592.9833,5440.4474,5186.2209,4830.3038,4779.4585,4550.6546,2618.5331
False,2.0,Липецкая область,1,False,30000.0,50000.0,11497.3942,7595.0172,5237.0662,5211.6436,5192.5766,3050.7182,2542.2652,1423.6685,1398.2458,1360.1119,1296.5552,1207.576,1194.8646,1137.6637,654.6333
False,2.0,Ямало-Ненецкий автономный округ,1,False,25000.0,75000.0,17246.0913,11392.5257,7855.5993,7817.4654,7788.8649,4576.0773,3813.3977,2135.5027,2097.3688,2040.1678,1944.8328,1811.3639,1792.2969,1706.4955,981.9499
False,2.0,Кировская область,1,False,23500.0,35000.0,8048.1759,5316.512,3665.9464,3648.1505,3634.8036,2135.5027,1779.5856,996.5679,978.7721,952.0783,907.5887,845.3032,836.4052,796.3646,458.2433
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,20000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,2.0,Город федерального значения Севастополь,1,False,30000.0,85000.0,19545.5701,12911.5292,8903.0126,8859.7941,8827.3802,5186.2209,4321.8508,2420.2364,2377.0179,2312.1902,2204.1439,2052.8791,2031.2699,1934.0282,1112.8766
False,2.0,Республика Мордовия,1,False,20000.0,65000.0,14946.6124,9873.5223,6808.1861,6775.1366,6750.3496,3965.9336,3304.9447,1850.769,1817.7196,1768.1454,1685.5218,1569.8487,1553.324,1478.9628,851.0233
False,2.0,Волгоградская область,2,False,20000.0,42000.0,9657.8111,6379.8144,4399.1356,4377.7806,4361.7643,2562.6033,2135.5027,1195.8815,1174.5265,1142.494,1089.1064,1014.3638,1003.6863,955.6375,549.892
False,2.0,Амурская область,1,False,20000.0,60000.0,13796.873,9114.0206,6284.4795,6253.9723,6231.0919,3660.8618,3050.7182,1708.4022,1677.895,1632.1342,1555.8663,1449.0911,1433.8375,1365.1964,785.5599
False,2.0,Сахалинская область,1,False,20000.0,56000.0,12877.0815,8506.4192,5865.5142,5837.0408,5815.6858,3416.8044,2847.337,1594.5087,1566.0353,1523.3253,1452.1419,1352.4851,1338.2484,1274.1833,733.1893
