is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),Выполнение маневровой работы машинистом метрополитена (1920_28),"Личные установки и ценности, мировоззрение (2043_4)",Исполнение инструкций и правил машинистом метрополитена (1924_28),Управление локомотивами (РЖД) (3677_23),Управление электропоездом метрополитена (1913_28),Обеспечение безопасности перевозок и культуры обслуживания ( машинист метрополитена) (1927_28),Командность (СК) (1371_4),"Знания правил, инструкций машиниста метрополитена (1923_28)",Техническое обслуживание поездов (машинист РЖД) (1848_23),Пунктуальность (СК) (612_4),Высокая работоспособность (СК) (586_4),Выполнение графика движения машистом метрополитена (1921_28),Выполнение маневровой работы (составитель поездов) (3671_23),"Устранение неисправностей, возникших в пути следования (машинист РЖД) (3789_23)",Инициативность (СК) (610_4),Коммуникабельность (СК) (617_4),Знание правил подготовки и управления поездом (машинист РЖД) (3765_23),Контроль за правильностью сцепления поезда с первым вагоном (машинист РЖД) (3788_23)
False,1.0,Республика Карелия,1,False,46950.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Омская область,1,False,25250.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Республика Коми,1,False,25250.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Республика Хакасия,1,False,29500.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Брянская область,1,False,29500.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Псковская область,1,False,50000.0,50000.0,6758.552,5621.0561,4433.7429,4267.6852,4143.1418,3769.5118,2632.0159,1942.8761,1934.5732,1859.8472,1859.8472,1685.4865,1660.5779,1635.6692,1519.4288,1419.7941,1079.3756,896.7121,880.1063
False,1.0,Забайкальский край,1,False,30000.0,51250.0,6927.5158,5761.5825,4544.5865,4374.3773,4246.7204,3863.7496,2697.8163,1991.448,1982.9376,1906.3434,1906.3434,1727.6237,1702.0923,1676.5609,1557.4145,1455.2889,1106.36,919.1299,902.1089
False,1.0,Калининградская область,1,False,32000.0,65000.0,8786.1176,7307.373,5763.8658,5547.9907,5386.0844,4900.3653,3421.6207,2525.739,2514.9452,2417.8014,2417.8014,2191.1325,2158.7512,2126.37,1975.2574,1845.7323,1403.1883,1165.7257,1144.1382
False,1.0,Пермский край,1,False,40000.0,51250.0,6927.5158,5761.5825,4544.5865,4374.3773,4246.7204,3863.7496,2697.8163,1991.448,1982.9376,1906.3434,1906.3434,1727.6237,1702.0923,1676.5609,1557.4145,1455.2889,1106.36,919.1299,902.1089
False,1.0,Город федерального значения Москва,0,False,40000.0,80000.0,10813.6832,8993.6898,7093.9887,6828.2962,6629.0269,6031.2189,4211.2255,3108.6018,3095.3172,2975.7556,2975.7556,2696.7785,2656.9246,2617.0707,2431.086,2271.6705,1727.001,1434.7393,1408.17
