is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Покупка и доставка необходимых товаров за счет средств получателя социальных услуг (159_1),Предоставление социальных услуг (183_1),Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Помощь в оплате коммунальных и иных услуг за счет средств клиента (158_1),Склонность к здоровому образу жизни (СК) (1662_4),Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Уход за нуждающимися категориями получателей социальных услуг (182_1),Помощь в уборке жилых помещений (166_1)
False,0.0,Республика Северная Осетия,1,False,12972.0,28525.0,4215.1255,3446.329,3300.5228,3194.4819,2942.6348,2160.5832,1908.7361,1564.1032,1524.3378,1471.3174,1431.552,1365.2765
False,0.0,Ненецкий автономный округ,1,False,15298.0,15298.0,2260.5781,1848.2714,1770.0753,1713.2054,1578.1394,1158.724,1023.658,838.8309,817.5046,789.0697,767.7435,732.1998
False,0.0,Иркутская область,1,False,12000.0,41312.0,6104.6543,4991.2268,4780.0595,4626.4833,4261.7398,3129.1152,2764.3717,2265.2491,2207.658,2130.8699,2073.2788,1977.2937
False,0.0,Иркутская область,1,True,25987.0,25987.0,3840.0864,3139.6933,3006.8601,2910.2542,2680.8151,1968.3462,1738.9071,1424.9377,1388.7105,1340.4075,1304.1803,1243.8016
False,0.0,Кемеровская область,1,False,12000.0,50000.0,7388.4758,6040.8922,5785.316,5599.4424,5157.9926,3787.1747,3345.7249,2741.6357,2671.9331,2578.9963,2509.2937,2393.1227
False,0.0,Кемеровская область,1,True,13950.0,22597.0,3339.1478,2730.1208,2614.6157,2530.612,2331.1032,1711.5757,1512.0669,1239.0548,1207.5534,1165.5516,1134.0502,1081.5479
False,0.0,Республика Хакасия,1,False,13950.0,34000.0,5024.1636,4107.8067,3934.0149,3807.6208,3507.4349,2575.2788,2275.0929,1864.3123,1816.9145,1753.7175,1706.3197,1627.3234
False,0.0,Республика Хакасия,1,True,22597.0,34000.0,5024.1636,4107.8067,3934.0149,3807.6208,3507.4349,2575.2788,2275.0929,1864.3123,1816.9145,1753.7175,1706.3197,1627.3234
False,0.0,Тульская область,1,False,12000.0,31858.0,4707.6413,3849.0149,3686.1719,3567.7407,3286.4665,2413.0362,2131.7621,1746.8606,1702.4489,1643.2333,1598.8216,1524.802
False,0.0,Рязанская область,1,False,12000.0,41598.0,6146.9164,5025.7807,4813.1515,4658.5121,4291.2435,3150.7779,2783.5093,2280.9312,2222.9414,2145.6217,2087.632,1990.9823
False,0.0,Рязанская область,1,True,20000.0,28525.0,4215.1255,3446.329,3300.5228,3194.4819,2942.6348,2160.5832,1908.7361,1564.1032,1524.3378,1471.3174,1431.552,1365.2765
False,0.0,Республика Бурятия,1,False,12972.0,33613.0,4966.9768,4061.0502,3889.2365,3764.2811,3467.5121,2545.9661,2249.197,1843.092,1796.2337,1733.756,1686.8978,1608.8007
False,0.0,Республика Тыва,1,False,16920.0,26000.0,3842.0074,3141.2639,3008.3643,2911.71,2682.1561,1969.3309,1739.777,1425.6506,1389.4052,1341.0781,1304.8327,1244.4238
False,0.0,Чеченская Республика,1,False,15900.0,29516.0,4361.5651,3566.0595,3415.1877,3305.4628,3044.8662,2235.645,1975.0483,1618.4424,1577.2955,1522.4331,1481.2862,1412.7082
False,0.0,Красноярский край,1,False,10296.0,45000.0,6649.6283,5436.803,5206.7844,5039.4981,4642.1933,3408.4572,3011.1524,2467.4721,2404.7398,2321.0967,2258.3643,2153.8104
False,0.0,Красноярский край,1,True,18048.0,30000.0,4433.0855,3624.5353,3471.1896,3359.6654,3094.7955,2272.3048,2007.4349,1644.9814,1603.1599,1547.3978,1505.5762,1435.8736
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,8121.0,35733.0,5280.2481,4317.184,4134.5339,4001.6975,3686.211,2706.5423,2391.0558,1959.3374,1909.5237,1843.1055,1793.2918,1710.2691
False,0.0,Ханты-Мансийский автономный округ — Югра,1,True,10000.0,33613.0,4966.9768,4061.0502,3889.2365,3764.2811,3467.5121,2545.9661,2249.197,1843.092,1796.2337,1733.756,1686.8978,1608.8007
False,0.0,Московская область,2,False,10296.0,80000.0,11821.5613,9665.4275,9256.5056,8959.1078,8252.7881,6059.4796,5353.1599,4386.6171,4275.0929,4126.3941,4014.8699,3828.9963
False,0.0,Амурская область,1,False,10296.0,50000.0,7388.4758,6040.8922,5785.316,5599.4424,5157.9926,3787.1747,3345.7249,2741.6357,2671.9331,2578.9963,2509.2937,2393.1227
False,0.0,Республика Карелия,1,False,16975.0,41000.0,6058.5502,4953.5316,4743.9591,4591.5428,4229.5539,3105.4833,2743.4944,2248.1413,2190.9851,2114.777,2057.6208,1962.3606
False,0.0,Сахалинская область,1,False,17380.0,30000.0,4433.0855,3624.5353,3471.1896,3359.6654,3094.7955,2272.3048,2007.4349,1644.9814,1603.1599,1547.3978,1505.5762,1435.8736
False,0.0,Хабаровский край,1,False,16975.0,42000.0,6206.3197,5074.3494,4859.6654,4703.5316,4332.7138,3181.2268,2810.4089,2302.974,2244.4238,2166.3569,2107.8067,2010.223
False,0.0,Город федерального значения Севастополь,1,False,33613.0,33613.0,4966.9768,4061.0502,3889.2365,3764.2811,3467.5121,2545.9661,2249.197,1843.092,1796.2337,1733.756,1686.8978,1608.8007
False,0.0,Ямало-Ненецкий автономный округ,1,False,23908.0,50000.0,7388.4758,6040.8922,5785.316,5599.4424,5157.9926,3787.1747,3345.7249,2741.6357,2671.9331,2578.9963,2509.2937,2393.1227
False,0.0,Камчатский край,1,False,20000.0,50000.0,7388.4758,6040.8922,5785.316,5599.4424,5157.9926,3787.1747,3345.7249,2741.6357,2671.9331,2578.9963,2509.2937,2393.1227
False,0.0,Камчатский край,1,True,48000.0,48000.0,7092.9368,5799.2565,5553.9033,5375.4647,4951.6729,3635.6877,3211.8959,2631.9703,2565.0558,2475.8364,2408.9219,2297.3978
False,0.0,Мурманская область,1,False,12605.5,50000.0,7388.4758,6040.8922,5785.316,5599.4424,5157.9926,3787.1747,3345.7249,2741.6357,2671.9331,2578.9963,2509.2937,2393.1227
False,0.0,Мурманская область,1,True,25000.0,25000.0,3694.2379,3020.4461,2892.658,2799.7212,2578.9963,1893.5874,1672.8625,1370.8178,1335.9665,1289.4981,1254.6468,1196.5613
False,0.0,Республика Саха (Якутия),1,False,24000.0,61500.0,9087.8253,7430.2974,7115.9387,6887.3141,6344.3309,4658.2249,4115.2416,3372.2119,3286.4777,3172.1654,3086.4312,2943.5409
False,0.0,Магаданская область,1,False,31980.0,40000.0,5910.7807,4832.7138,4628.2528,4479.5539,4126.3941,3029.7398,2676.5799,2193.3086,2137.5465,2063.197,2007.4349,1914.4981
False,1.0,Республика Башкортостан,0,False,8970.0,20000.0,2955.3903,2416.3569,2314.1264,2239.777,2063.197,1514.8699,1338.29,1096.6543,1068.7732,1031.5985,1003.7175,957.2491
False,1.0,Город федерального значения Санкт-Петербург,0,False,15000.0,60000.0,8866.171,7249.0706,6942.3792,6719.3309,6189.5911,4544.6097,4014.8699,3289.9628,3206.3197,3094.7955,3011.1524,2871.7472
False,1.0,Город федерального значения Санкт-Петербург,0,True,30000.0,30000.0,4433.0855,3624.5353,3471.1896,3359.6654,3094.7955,2272.3048,2007.4349,1644.9814,1603.1599,1547.3978,1505.5762,1435.8736
False,1.0,Город федерального значения Москва,0,False,24000.0,50000.0,7388.4758,6040.8922,5785.316,5599.4424,5157.9926,3787.1747,3345.7249,2741.6357,2671.9331,2578.9963,2509.2937,2393.1227
