is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Пунктуальность (СК) (612_4),Штукатурка (713_10),Укладка плитки (250_10),Нравственность (СК) (622_4),Выполнение ремонтных работ (ОПТ) (8285_36),Высокая работоспособность (СК) (586_4),Коммуникабельность (СК) (617_4),Приготовление штукатурных растворов и смесей (448_10),Ремонт штукатурки (357_10),Трудолюбие (СК) (597_4),Выполнение штукатурки (456_10)
False,0.0,Пензенская область,1,False,14000.0,45000.0,10235.6557,6501.0246,4764.3443,3834.5287,2566.5984,2435.9631,1844.2623,1828.8934,1705.9426,1613.7295,1598.3607,1582.9918,1283.2992,1252.5615,1160.3484,791.4959
False,0.0,Тверская область,1,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Ленинградская область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Тамбовская область,2,False,15000.0,43500.0,9894.4672,6284.3238,4605.5328,3706.7111,2481.0451,2354.7643,1782.7869,1767.9303,1649.0779,1559.9385,1545.082,1530.2254,1240.5225,1210.8094,1121.6701,765.1127
False,0.0,Липецкая область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Владимирская область,1,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Курганская область,1,False,14000.0,45000.0,10235.6557,6501.0246,4764.3443,3834.5287,2566.5984,2435.9631,1844.2623,1828.8934,1705.9426,1613.7295,1598.3607,1582.9918,1283.2992,1252.5615,1160.3484,791.4959
False,0.0,Иркутская область,1,False,15000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Калининградская область,1,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
False,0.0,Сахалинская область,1,False,14000.0,50000.0,11372.9508,7223.3607,5293.7158,4260.5874,2851.776,2706.6257,2049.1803,2032.1038,1895.4918,1793.0328,1775.9563,1758.8798,1425.888,1391.735,1289.276,879.4399
