is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение конструктивных расчетов (5545_35),Знание компьютерных программ (3753_35),Внимательность (СК) (536_4),Разработка рабочей конструкторской документации (5537_35),Знания SCAD (5251_10),Английский язык (ЯС) (1918_32),Разработка проектной документации (5541_35),Навыки трехмерного моделирования (5475_35),Умение работать в САПР (5244_35),"Саморазвитие, обучаемость (СК) (604_4)",Знание нормативной и методической документации (4566_35),Командность (СК) (1371_4),Подготовка чертежей по специальности или профилю работы (7181_10),"Организаторские способности, лидерство (СК) (393_4)",Коммуникабельность (СК) (617_4),Руководство конструкторским отделом (5674_35),Кропотливость (СК) (623_4),Разработка технических заданий (5551_35),Руководство проектными работами (6044_35),Разработка конструкторской документации (7077_10),Конструкторское сопровождение опытного и серийного производства (5518_35),Проверка проектной и конструкторской документации (5652_35),Стрессоустойчивость (СК) (601_4),Чтение схем/чертежей (ОПТ) (3032_36),Аккуратность (СК) (575_4),Согласование конструкторской документации (5543_35),Знание ЕСКД (7062_10),Навык работы с офисными компьютерными программами (5249_35)
False,2.0,Иркутская область,1,False,28461.25,200000.0,40181.6118,19659.4779,12304.1998,11940.9762,10760.4994,10533.4847,9670.8286,7446.084,6265.6073,5539.16,4994.3246,4404.0863,4177.0715,4086.2656,3723.042,3314.4154,3178.2066,3132.8036,3087.4007,3041.9977,2905.7889,2860.3859,2814.983,2814.983,2587.9682,2497.1623,2451.7594,2406.3564,2406.3564,2406.3564,2406.3564
False,2.0,Чувашская Республика,1,False,16242.0,150000.0,30136.2089,14744.6084,9228.1498,8955.7321,8070.3746,7900.1135,7253.1215,5584.563,4699.2054,4154.37,3745.7435,3303.0647,3132.8036,3064.6992,2792.2815,2485.8116,2383.6549,2349.6027,2315.5505,2281.4983,2179.3417,2145.2894,2111.2372,2111.2372,1940.9762,1872.8717,1838.8195,1804.7673,1804.7673,1804.7673,1804.7673
False,2.0,Брянская область,1,False,20018.25,120000.0,24108.9671,11795.6867,7382.5199,7164.5857,6456.2997,6320.0908,5802.4972,4467.6504,3759.3644,3323.496,2996.5948,2642.4518,2506.2429,2451.7594,2233.8252,1988.6493,1906.924,1879.6822,1852.4404,1825.1986,1743.4733,1716.2316,1688.9898,1688.9898,1552.7809,1498.2974,1471.0556,1443.8138,1443.8138,1443.8138,1443.8138
False,2.0,Брянская область,1,True,33000.0,33000.0,6629.9659,3243.8138,2030.193,1970.2611,1775.4824,1738.025,1595.6867,1228.6039,1033.8252,913.9614,824.0636,726.6742,689.2168,674.2338,614.3019,546.8785,524.4041,516.9126,509.4211,501.9296,479.4552,471.9637,464.4722,464.4722,427.0148,412.0318,404.5403,397.0488,397.0488,397.0488,397.0488
False,2.0,Тульская область,1,False,20018.25,120000.0,24108.9671,11795.6867,7382.5199,7164.5857,6456.2997,6320.0908,5802.4972,4467.6504,3759.3644,3323.496,2996.5948,2642.4518,2506.2429,2451.7594,2233.8252,1988.6493,1906.924,1879.6822,1852.4404,1825.1986,1743.4733,1716.2316,1688.9898,1688.9898,1552.7809,1498.2974,1471.0556,1443.8138,1443.8138,1443.8138,1443.8138
False,2.0,Тульская область,1,True,45000.0,45000.0,9040.8627,4423.3825,2768.4449,2686.7196,2421.1124,2370.0341,2175.9364,1675.3689,1409.7616,1246.311,1123.723,990.9194,939.8411,919.4098,837.6844,745.7435,715.0965,704.8808,694.6652,684.4495,653.8025,643.5868,633.3712,633.3712,582.2928,561.8615,551.6459,541.4302,541.4302,541.4302,541.4302
False,2.0,Тамбовская область,2,False,20018.25,100000.0,20090.8059,9829.7389,6152.0999,5970.4881,5380.2497,5266.7423,4835.4143,3723.042,3132.8036,2769.58,2497.1623,2202.0431,2088.5358,2043.1328,1861.521,1657.2077,1589.1033,1566.4018,1543.7003,1520.9989,1452.8944,1430.193,1407.4915,1407.4915,1293.9841,1248.5812,1225.8797,1203.1782,1203.1782,1203.1782,1203.1782
False,2.0,Калининградская область,1,False,28461.25,70000.0,14063.5641,6880.8173,4306.4699,4179.3417,3766.1748,3686.7196,3384.79,2606.1294,2192.9625,1938.706,1748.0136,1541.4302,1461.975,1430.193,1303.0647,1160.0454,1112.3723,1096.4813,1080.5902,1064.6992,1017.0261,1001.1351,985.244,985.244,905.7889,874.0068,858.1158,842.2247,842.2247,842.2247,842.2247
False,2.0,Саратовская область,2,False,40.0,200000.0,40181.6118,19659.4779,12304.1998,11940.9762,10760.4994,10533.4847,9670.8286,7446.084,6265.6073,5539.16,4994.3246,4404.0863,4177.0715,4086.2656,3723.042,3314.4154,3178.2066,3132.8036,3087.4007,3041.9977,2905.7889,2860.3859,2814.983,2814.983,2587.9682,2497.1623,2451.7594,2406.3564,2406.3564,2406.3564,2406.3564
False,2.0,Саратовская область,2,True,30000.0,40000.0,8036.3224,3931.8956,2460.84,2388.1952,2152.0999,2106.6969,1934.1657,1489.2168,1253.1215,1107.832,998.8649,880.8173,835.4143,817.2531,744.6084,662.8831,635.6413,626.5607,617.4801,608.3995,581.1578,572.0772,562.9966,562.9966,517.5936,499.4325,490.3519,481.2713,481.2713,481.2713,481.2713
