is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),Грамотность (СК) (1368_4),Внимательность (СК) (536_4),Содействие в консультировании по вопросам социальной защиты (277_1),"Саморазвитие, обучаемость (СК) (604_4)","Определение объема и форм социальной помощи, методов и технологий социальной работы (407_1)",Работа с информацией (356_1),Предоставление социальных услуг (183_1)
False,1.0,Челябинская область,0,False,12451.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,1.0,Белгородская область,2,False,12451.0,17500.0,3463.4055,2666.1688,2626.9604,1921.2099,1489.9178,888.7229,875.6535,875.6535,692.6811,666.5422,666.5422,666.5422
False,1.0,Омская область,1,False,12451.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,1.0,Алтайский край,2,False,9489.0,22000.0,4353.9955,3351.755,3302.4645,2415.2353,1873.0396,1117.2517,1100.8215,1100.8215,870.7991,837.9388,837.9388,837.9388
False,1.0,Краснодарский край,0,False,11000.0,34288.0,6785.8999,5223.8626,5147.0411,3764.2539,2919.2173,1741.2875,1715.6804,1715.6804,1357.18,1305.9656,1305.9656,1305.9656
False,1.0,Краснодарский край,0,True,20000.0,20000.0,3958.1777,3047.05,3002.2405,2195.6684,1702.7633,1015.6833,1000.7468,1000.7468,791.6355,761.7625,761.7625,761.7625
False,1.0,Чувашская Республика,1,False,13000.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,1.0,Чувашская Республика,1,True,13000.0,13000.0,2572.8155,1980.5825,1951.4563,1427.1845,1106.7961,660.1942,650.4854,650.4854,514.5631,495.1456,495.1456,495.1456
False,1.0,Вологодская область,1,False,9489.0,30000.0,5937.2666,4570.5751,4503.3607,3293.5026,2554.1449,1523.525,1501.1202,1501.1202,1187.4533,1142.6438,1142.6438,1142.6438
False,1.0,Тюменская область,1,False,11000.0,33101.0,6550.9821,5043.0202,4968.8581,3633.941,2818.1583,1681.0067,1656.286,1656.286,1310.1964,1260.755,1260.755,1260.755
False,1.0,Республика Мордовия,1,False,14345.5,16000.0,3166.5422,2437.64,2401.7924,1756.5347,1362.2106,812.5467,800.5975,800.5975,633.3084,609.41,609.41,609.41
False,1.0,Оренбургская область,2,False,12451.0,21000.0,4156.0866,3199.4025,3152.3525,2305.4518,1787.9014,1066.4675,1050.7842,1050.7842,831.2173,799.8506,799.8506,799.8506
