is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ по осмотру (2683_23),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),"Выполнение работ по регулировке, выправке и промерам (2998_23)",Внимательность (СК) (536_4),Пунктуальность (СК) (612_4),Коммуникабельность (СК) (617_4),Трудолюбие (СК) (597_4),Командность (СК) (1371_4),Выполнение работ по очистке (2992_23),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение работ по ремонту и текущему содержанию ВСП (РЖД) (замена ВСП) (2684_23),Высокая работоспособность (СК) (586_4),Выполнение погрузо-разгрузочных работ (2986_23),"Саморазвитие, обучаемость (СК) (604_4)",Знания по выполнению работ по ремонту и текущему содержанию железнодорожного пути (РЖД) (1776_23),Сборка и разборка промежуточных и стыковых рельсовых скреплений (Текущее содержаниеРЖД) (3755_23)
False,0.0,Забайкальский край,1,False,20000.0,64000.0,13934.4588,9787.4876,9120.1589,7467.7259,2669.3148,2160.8739,2129.0963,2097.3188,1986.0973,1938.431,1843.0983,1398.2125,1318.7686,1223.4359,1128.1033,1016.8818,985.1043,953.3267,842.1053
False,0.0,Иркутская область,1,False,19300.0,61000.0,13281.281,9328.6991,8692.6514,7117.6763,2544.1907,2059.5829,2029.2949,1999.007,1892.999,1847.567,1756.7031,1332.6713,1256.9513,1166.0874,1075.2234,969.2155,938.9275,908.6395,802.6316
False,0.0,Калужская область,1,False,19300.0,41000.0,8926.7627,6270.1092,5842.6018,4784.0119,1710.0298,1384.3098,1363.9523,1343.5948,1272.3436,1241.8073,1180.7349,895.7299,844.8361,783.7637,722.6912,651.4399,631.0824,610.7249,539.4737
False,0.0,Мурманская область,1,False,27000.0,64000.0,13934.4588,9787.4876,9120.1589,7467.7259,2669.3148,2160.8739,2129.0963,2097.3188,1986.0973,1938.431,1843.0983,1398.2125,1318.7686,1223.4359,1128.1033,1016.8818,985.1043,953.3267,842.1053
False,0.0,Орловская область,1,False,19300.0,53000.0,11539.4737,8105.2632,7552.6316,6184.2105,2210.5263,1789.4737,1763.1579,1736.8421,1644.7368,1605.2632,1526.3158,1157.8947,1092.1053,1013.1579,934.2105,842.1053,815.7895,789.4737,697.3684
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,25000.0,60000.0,13063.5551,9175.7696,8550.149,7000.993,2502.4826,2025.8193,1996.0278,1966.2363,1861.9662,1817.279,1727.9047,1310.8242,1236.3456,1146.9712,1057.5968,953.3267,923.5353,893.7438,789.4737
False,0.0,Курганская область,1,False,20000.0,41000.0,8926.7627,6270.1092,5842.6018,4784.0119,1710.0298,1384.3098,1363.9523,1343.5948,1272.3436,1241.8073,1180.7349,895.7299,844.8361,783.7637,722.6912,651.4399,631.0824,610.7249,539.4737
False,0.0,Московская область,2,False,31000.0,67000.0,14587.6365,10246.2761,9547.6663,7817.7756,2794.4389,2262.1648,2228.8977,2195.6306,2079.1956,2029.2949,1929.4935,1463.7537,1380.5859,1280.7845,1180.9831,1064.5482,1031.281,998.0139,881.5789
False,0.0,Республика Коми,1,False,21000.0,81000.0,17635.7994,12387.289,11542.7011,9451.3406,3378.3515,2734.856,2694.6375,2654.4191,2513.6544,2453.3267,2332.6713,1769.6127,1669.0665,1548.4111,1427.7557,1286.9911,1246.7726,1206.5541,1065.7895
False,0.0,Сахалинская область,1,False,30000.0,33000.0,7184.9553,5046.6733,4702.5819,3850.5462,1376.3654,1114.2006,1097.8153,1081.43,1024.0814,999.5035,950.3476,720.9533,679.9901,630.8342,581.6783,524.3297,507.9444,491.5591,434.2105
False,0.0,Город федерального значения Санкт-Петербург,0,False,30000.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Пермский край,1,False,25000.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Томская область,1,False,21114.0,31000.0,6749.5035,4740.8143,4417.577,3617.1797,1292.9494,1046.6733,1031.281,1015.8888,962.0159,938.9275,892.7507,677.2592,638.7786,592.6018,546.425,492.5521,477.1599,461.7676,407.8947
False,0.0,Хабаровский край,1,False,18923.0,68000.0,14805.3625,10399.2056,9690.1688,7934.4588,2836.147,2295.9285,2262.1648,2228.4012,2110.2284,2059.5829,1958.292,1485.6008,1401.1917,1299.9007,1198.6097,1080.4369,1046.6733,1012.9096,894.7368
False,0.0,Хабаровский край,1,True,38000.0,38000.0,8273.5849,5811.3208,5415.0943,4433.9623,1584.9057,1283.0189,1264.1509,1245.283,1179.2453,1150.9434,1094.3396,830.1887,783.0189,726.4151,669.8113,603.7736,584.9057,566.0377,500.0
False,0.0,Амурская область,1,False,18923.0,67000.0,14587.6365,10246.2761,9547.6663,7817.7756,2794.4389,2262.1648,2228.8977,2195.6306,2079.1956,2029.2949,1929.4935,1463.7537,1380.5859,1280.7845,1180.9831,1064.5482,1031.281,998.0139,881.5789
False,0.0,Ямало-Ненецкий автономный округ,1,False,22000.0,50000.0,10886.2959,7646.4747,7125.1241,5834.1609,2085.4022,1688.1827,1663.3565,1638.5303,1551.6385,1514.3992,1439.9206,1092.3535,1030.288,955.8093,881.3307,794.4389,769.6127,744.7865,657.8947
False,0.0,Город федерального значения Москва,0,False,18923.0,67000.0,14587.6365,10246.2761,9547.6663,7817.7756,2794.4389,2262.1648,2228.8977,2195.6306,2079.1956,2029.2949,1929.4935,1463.7537,1380.5859,1280.7845,1180.9831,1064.5482,1031.281,998.0139,881.5789
False,0.0,Еврейская автономная область,1,False,25000.0,67000.0,14587.6365,10246.2761,9547.6663,7817.7756,2794.4389,2262.1648,2228.8977,2195.6306,2079.1956,2029.2949,1929.4935,1463.7537,1380.5859,1280.7845,1180.9831,1064.5482,1031.281,998.0139,881.5789
False,0.0,Республика Саха (Якутия),1,False,32000.0,70000.0,15240.8143,10705.0645,9975.1738,8167.8252,2919.5631,2363.4558,2328.6991,2293.9424,2172.2939,2120.1589,2015.8888,1529.2949,1442.4032,1338.1331,1233.863,1112.2145,1077.4578,1042.7011,921.0526
False,1.0,Оренбургская область,2,False,12837.0,40000.0,8709.0367,6117.1797,5700.0993,4667.3287,1668.3217,1350.5462,1330.6852,1310.8242,1241.3108,1211.5194,1151.9364,873.8828,824.2304,764.6475,705.0645,635.5511,615.6902,595.8292,526.3158
False,1.0,Чувашская Республика,1,False,15000.0,25000.0,5443.148,3823.2373,3562.5621,2917.0804,1042.7011,844.0914,831.6783,819.2651,775.8193,757.1996,719.9603,546.1768,515.144,477.9047,440.6653,397.2195,384.8064,372.3932,328.9474
False,1.0,Калининградская область,1,False,13000.0,53900.0,11735.427,8242.8997,7680.8838,6289.2254,2248.0636,1819.861,1793.0983,1766.3357,1672.6663,1632.5223,1552.2344,1177.5571,1110.6504,1030.3625,950.0745,856.4052,829.6425,802.8798,709.2105
False,1.0,Республика Северная Осетия,1,False,12792.0,35000.0,7620.4071,5352.5323,4987.5869,4083.9126,1459.7815,1181.7279,1164.3496,1146.9712,1086.147,1060.0794,1007.9444,764.6475,721.2016,669.0665,616.9315,556.1072,538.7289,521.3505,460.5263
False,1.0,Тверская область,1,False,24658.0,24658.0,5368.6857,3770.9355,3513.8262,2877.1748,1028.4369,832.5442,820.3009,808.0576,765.2061,746.8411,710.1112,538.7051,508.0968,471.3669,434.637,391.7855,379.5422,367.2989,324.4474
False,1.0,Липецкая область,1,False,18000.0,70000.0,15240.8143,10705.0645,9975.1738,8167.8252,2919.5631,2363.4558,2328.6991,2293.9424,2172.2939,2120.1589,2015.8888,1529.2949,1442.4032,1338.1331,1233.863,1112.2145,1077.4578,1042.7011,921.0526
False,1.0,Смоленская область,1,False,17461.0,32200.0,7010.7746,4924.3297,4588.5799,3757.1996,1342.999,1087.1897,1071.2016,1055.2135,999.2552,975.2731,927.3088,703.4757,663.5055,615.5412,567.577,511.6187,495.6306,479.6425,423.6842
False,1.0,Республика Татарстан,0,False,18500.0,40000.0,8709.0367,6117.1797,5700.0993,4667.3287,1668.3217,1350.5462,1330.6852,1310.8242,1241.3108,1211.5194,1151.9364,873.8828,824.2304,764.6475,705.0645,635.5511,615.6902,595.8292,526.3158
False,1.0,Рязанская область,1,False,18500.0,25000.0,5443.148,3823.2373,3562.5621,2917.0804,1042.7011,844.0914,831.6783,819.2651,775.8193,757.1996,719.9603,546.1768,515.144,477.9047,440.6653,397.2195,384.8064,372.3932,328.9474
False,1.0,Воронежская область,2,False,15000.0,32200.0,7010.7746,4924.3297,4588.5799,3757.1996,1342.999,1087.1897,1071.2016,1055.2135,999.2552,975.2731,927.3088,703.4757,663.5055,615.5412,567.577,511.6187,495.6306,479.6425,423.6842
False,1.0,Кировская область,1,False,15000.0,44000.0,9579.9404,6728.8977,6270.1092,5134.0616,1835.1539,1485.6008,1463.7537,1441.9067,1365.4419,1332.6713,1267.1301,961.2711,906.6534,841.1122,775.571,699.1063,677.2592,655.4121,578.9474
False,1.0,Курская область,2,False,18900.0,70000.0,15240.8143,10705.0645,9975.1738,8167.8252,2919.5631,2363.4558,2328.6991,2293.9424,2172.2939,2120.1589,2015.8888,1529.2949,1442.4032,1338.1331,1233.863,1112.2145,1077.4578,1042.7011,921.0526
False,1.0,Челябинская область,0,False,15000.0,75000.0,16329.4439,11469.712,10687.6862,8751.2413,3128.1033,2532.2741,2495.0348,2457.7954,2327.4578,2271.5988,2159.8808,1638.5303,1545.432,1433.714,1321.996,1191.6584,1154.4191,1117.1797,986.8421
False,1.0,Краснодарский край,0,False,15000.0,70000.0,15240.8143,10705.0645,9975.1738,8167.8252,2919.5631,2363.4558,2328.6991,2293.9424,2172.2939,2120.1589,2015.8888,1529.2949,1442.4032,1338.1331,1233.863,1112.2145,1077.4578,1042.7011,921.0526
