is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Дисциплинированность (СК) (593_4),"Личные установки и ценности, мировоззрение (2043_4)","(АГП) Соблюдение федеральных норм, правил и требований (6240_30)",(АГП) Управление автовышкой и автогидроподъемником (4336_30),(АГП) Выполнение ежесменного технического обслуживания (4338_30),Выполнение ремонтных работ (ОПТ) (8285_36),(АГП) Обслуживание и ремонт (3691_30),"(стропальщик) Строительные, строительно-монтажные, и монтажные работы (2876_30)",(АГП) Выявление и устранение неисправностей (4337_30),(АГП) Организация подъема и перемещения людей на высоту. (8430_30),(АГП) Знание устройства и принципа работы АГП (8450_30),(АГП) Управление машинами и механизмами различного типа и назначения (6030_30),(АГП) Ведение путевой документации (4316_30),(АГП) Соблюдать требования правил дорожного движения (4314_30),(АГП) Техническое обслуживание и проведение профилактического ремонта автовышки и автогидроподъемника (4687_30),(АГП) Выполнение работ по ежесменному техническому обслуживанию транспортного средства (автомобиля) (8459_30),"(АГП) Выполнение производственных заданий, заявок, распоряжений, поручений (4341_30)",(крановщик) Управление автомобильным краном (5200_30),(АГП) Ведение первичной технической документации (8447_30),(АГП) Знание федеральных норм и правил (5867_30),Целеустремленность (СК) (588_4),Стрессоустойчивость (СК) (601_4),"(АГП) Знание устройства, и правил эксплуатации (5870_30)","Саморазвитие, обучаемость (СК) (604_4)"
False,1.0,Белгородская область,2,True,120000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Республика Хакасия,1,False,18000.0,25000.0,6474.8394,3273.5546,2186.8308,1555.1392,1191.1135,1014.454,979.6574,821.7345,794.9679,794.9679,728.0514,540.6852,516.5953,465.7388,452.3555,425.5889,425.5889,385.439,385.439,358.6724,334.5824,326.5525,289.0792,278.3726
False,1.0,Республика Крым,1,False,25000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Орловская область,1,False,18000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
False,1.0,Мурманская область,1,False,22750.0,110000.0,28489.2934,14403.6403,9622.0557,6842.6124,5240.8994,4463.5974,4310.4925,3615.6317,3497.8587,3497.8587,3203.4261,2379.015,2273.0193,2049.2505,1990.364,1872.591,1872.591,1695.9315,1695.9315,1578.1585,1472.1627,1436.8308,1271.9486,1224.8394
False,1.0,Вологодская область,1,False,20000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Амурская область,1,False,30000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Алтайский край,2,False,20000.0,140000.0,36259.1006,18331.9058,12246.2527,8708.7794,6670.2355,5680.9422,5486.0814,4601.7131,4451.8201,4451.8201,4077.0878,3027.8373,2892.9336,2608.137,2533.1906,2383.2976,2383.2976,2158.4582,2158.4582,2008.5653,1873.6617,1828.6938,1618.8437,1558.8865
False,1.0,Ханты-Мансийский автономный округ — Югра,1,False,35000.0,120000.0,31079.2291,15713.0621,10496.788,7464.6681,5717.3448,4869.379,4702.3555,3944.3255,3815.8458,3815.8458,3494.6467,2595.2891,2479.6574,2235.546,2171.3062,2042.8266,2042.8266,1850.1071,1850.1071,1721.6274,1605.9957,1567.4518,1387.5803,1336.1884
False,1.0,Калининградская область,1,False,30000.0,80000.0,20719.4861,10475.3747,6997.8587,4976.4454,3811.5632,3246.2527,3134.9036,2629.5503,2543.8972,2543.8972,2329.7645,1730.1927,1653.1049,1490.364,1447.5375,1361.8844,1361.8844,1233.4047,1233.4047,1147.7516,1070.6638,1044.9679,925.0535,890.7923
