is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Закрепление подвижного состава (1740_23),"Ответственность , добросовестность (СК) (614_4)",Выполнение работ по ограждению места производства работ (РЖД) (2680_23),Подача звуковых и видимых сигналов при выполнении работ по ограждению (2946_23),Пунктуальность (СК) (612_4),"Саморазвитие, обучаемость (СК) (604_4)","Установка и снятие знаков, сигналов, петард при производстве работ по ограждению (2945_23)",Коммуникабельность (СК) (617_4),"Знание сигналов, знаков, и правил их установки (2681_23)",Командность (СК) (1371_4),"Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Высокая работоспособность (СК) (586_4),Знание порядка пользования средствами связи (2962_23),Инициативность (СК) (610_4)
True,0.0,Хабаровский край,1,False,39250.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
True,0.0,Забайкальский край,1,False,40000.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
True,0.0,Новосибирская область,0,False,38426.0,42875.0,11673.9698,9831.1563,2730.4071,2535.9819,2383.8229,2375.3697,2189.3977,1699.1078,1606.1218,1521.5891,1411.6966,1335.6171,591.7291,532.5562,456.4767
True,0.0,Иркутская область,1,False,42875.0,42875.0,11673.9698,9831.1563,2730.4071,2535.9819,2383.8229,2375.3697,2189.3977,1699.1078,1606.1218,1521.5891,1411.6966,1335.6171,591.7291,532.5562,456.4767
True,0.0,Челябинская область,0,False,42875.0,42875.0,11673.9698,9831.1563,2730.4071,2535.9819,2383.8229,2375.3697,2189.3977,1699.1078,1606.1218,1521.5891,1411.6966,1335.6171,591.7291,532.5562,456.4767
True,0.0,Брянская область,1,False,38426.0,38426.0,10462.5998,8811.0091,2447.0816,2272.8312,2136.4614,2128.8853,1962.211,1522.7969,1439.4598,1363.6987,1265.2094,1197.0244,530.3273,477.2946,409.1096
True,0.0,Амурская область,1,False,65250.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
True,0.0,Республика Бурятия,1,False,65250.0,65250.0,17766.2165,14961.7015,4155.3135,3859.4243,3627.8588,3614.9941,3331.9696,2585.8143,2444.3021,2315.6546,2148.4129,2032.6301,900.5323,810.4791,694.6964
True,0.0,Ханты-Мансийский автономный округ — Югра,1,False,50000.0,50000.0,13613.959,11464.9054,3184.1483,2957.4132,2779.9685,2770.1104,2553.2334,1981.4669,1873.0284,1774.4479,1646.2934,1557.571,690.0631,621.0568,532.3344
True,0.0,Еврейская автономная область,1,False,80000.0,80000.0,21782.3344,18343.8486,5094.6372,4731.8612,4447.9495,4432.1767,4085.1735,3170.347,2996.8454,2839.1167,2634.0694,2492.1136,1104.1009,993.6909,851.735
True,2.0,Республика Башкортостан,0,False,115000.0,115000.0,31312.1057,26369.2823,7323.541,6802.0505,6393.9274,6371.2539,5872.4369,4557.3738,4307.9653,4081.2303,3786.4748,3582.4132,1587.1451,1428.4306,1224.3691
True,2.0,Красноярский край,1,False,45000.0,115000.0,31312.1057,26369.2823,7323.541,6802.0505,6393.9274,6371.2539,5872.4369,4557.3738,4307.9653,4081.2303,3786.4748,3582.4132,1587.1451,1428.4306,1224.3691
True,2.0,Приморский край,1,False,106000.0,106000.0,28861.5931,24305.5994,6750.3943,6269.7161,5893.5331,5872.6341,5412.8549,4200.7098,3970.8202,3761.8297,3490.142,3302.0505,1462.9338,1316.6404,1128.5489
True,2.0,Хабаровский край,1,False,19863.0,19863.0,5408.2813,4554.5483,1264.9347,1174.862,1104.3703,1100.4541,1014.2975,787.1575,744.0793,704.9172,654.0065,618.7606,274.1345,246.721,211.4752
True,2.0,Забайкальский край,1,False,67320.0,115000.0,31312.1057,26369.2823,7323.541,6802.0505,6393.9274,6371.2539,5872.4369,4557.3738,4307.9653,4081.2303,3786.4748,3582.4132,1587.1451,1428.4306,1224.3691
True,2.0,Новосибирская область,0,False,67320.0,67320.0,18329.8344,15436.3486,4287.1372,3981.8612,3742.9495,3729.6767,3437.6735,2667.847,2521.8454,2389.1167,2216.5694,2097.1136,929.1009,836.1909,716.735
True,2.0,Кемеровская область,1,False,67320.0,67320.0,18329.8344,15436.3486,4287.1372,3981.8612,3742.9495,3729.6767,3437.6735,2667.847,2521.8454,2389.1167,2216.5694,2097.1136,929.1009,836.1909,716.735
True,2.0,Иркутская область,1,False,67320.0,67320.0,18329.8344,15436.3486,4287.1372,3981.8612,3742.9495,3729.6767,3437.6735,2667.847,2521.8454,2389.1167,2216.5694,2097.1136,929.1009,836.1909,716.735
True,2.0,Челябинская область,0,False,230000.0,230000.0,62624.2114,52738.5647,14647.082,13604.1009,12787.8549,12742.5079,11744.8738,9114.7476,8615.9306,8162.4606,7572.9495,7164.8265,3174.2902,2856.8612,2448.7382
True,2.0,Сахалинская область,1,False,27000.0,27000.0,7351.5379,6191.0489,1719.4401,1597.0032,1501.183,1495.8596,1378.7461,1069.9921,1011.4353,958.2019,888.9984,841.0883,372.6341,335.3707,287.4606
True,2.0,Амурская область,1,False,106000.0,106000.0,28861.5931,24305.5994,6750.3943,6269.7161,5893.5331,5872.6341,5412.8549,4200.7098,3970.8202,3761.8297,3490.142,3302.0505,1462.9338,1316.6404,1128.5489
True,2.0,Республика Бурятия,1,False,70000.0,70000.0,19059.5426,16050.8675,4457.8076,4140.3785,3891.9558,3878.1546,3574.5268,2774.0536,2622.2397,2484.2271,2304.8107,2180.5994,966.0883,869.4795,745.2681
True,2.0,Республика Саха (Якутия),1,False,115000.0,115000.0,31312.1057,26369.2823,7323.541,6802.0505,6393.9274,6371.2539,5872.4369,4557.3738,4307.9653,4081.2303,3786.4748,3582.4132,1587.1451,1428.4306,1224.3691
True,2.0,Омская область,1,False,115000.0,230000.0,62624.2114,52738.5647,14647.082,13604.1009,12787.8549,12742.5079,11744.8738,9114.7476,8615.9306,8162.4606,7572.9495,7164.8265,3174.2902,2856.8612,2448.7382
True,2.0,Ямало-Ненецкий автономный округ,1,False,70000.0,70000.0,19059.5426,16050.8675,4457.8076,4140.3785,3891.9558,3878.1546,3574.5268,2774.0536,2622.2397,2484.2271,2304.8107,2180.5994,966.0883,869.4795,745.2681
