is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Организация и выполнение производственных заданий при производстве этапа строительных работ (2959_10),"Личные установки и ценности, мировоззрение (2043_4)",Выполнение работ на строительных площадках (4996_10),Управление трубоукладчиком Komatsu D355 (6293_10),Знание устройства и технических характеристик машин и агрегатов (3181_10),ТО и Р трубоукладчиков (6390_10),Управление трубоукладчиком Komatsu (6292_10),Дисциплинированность (СК) (593_4),Стыковка и укладка трубы в траншею (6406_10),Выполнение ремонтных работ (ОПТ) (8285_36),Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),Погрузо-разгрузочные работы на погрузчике (6276_10),Монтаж-демонтаж механизмов (6407_10),Навыки управления трубоукладчиком (6290_10),Трудолюбие (СК) (597_4),Контроль исправности строп и съёмных грузозахватных приспособлений (6433_10),Пунктуальность (СК) (612_4),Выполнение работ по прокладке трубопроводов (6419_10),Выполнение работ по прокладке трубопроводов трубоукладчиком (6420_10),Управление трубоукладчиком Liebherr (6377_10),"Управление трубоукладчиком Liebherr RL, Komatsu D355 (6367_10)",Знание устройства и принципов работы трубоукладчика (6280_10),"Управление трубоукладчиком Komatsu, Caterpillar (6366_10)",Управление трубоукладчиком среднего класса (6439_10),Работа в сварочно-монтажных бригадах (6404_10),Настройка и регулировка механизмов (6451_10),Пусто2 (6392_10),Нравственность (СК) (622_4),Определение правильности и надежности строповки грузов (6400_10),Контроль соответствия съёмных грузозахватных приспособлений массе и характеру груза (6409_10),Командность (СК) (1371_4),Заправка бульдозера ГСМ (3224_10),Выявление и устранение неисправностей в работе машины (6411_10),Управление трубоукладчиком Caterpillar (6376_10),Управление краном при выполнении строительных монтажных работ (6291_10),Контрольный осмотр и проверка исправности агрегатов трубоукладчика (6431_10),Монтаж/установка опалубки (305_10)
False,2.0,Иркутская область,1,False,75000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Республика Хакасия,1,False,160000.0,160000.0,20266.6667,15680.0,11690.6667,7872.0,7392.0,7210.6667,6720.0,6112.0,5781.3333,4842.6667,4832.0,4650.6667,4469.3333,4458.6667,4384.0,4160.0,3584.0,3402.6667,3360.0,2869.3333,2485.3333,2229.3333,1973.3333,1845.3333,1834.6667,1749.3333,1717.3333,1664.0,1600.0,1280.0,1269.3333,1216.0,1120.0,1045.3333,949.3333,874.6667,832.0,576.0
False,2.0,Кировская область,1,False,100000.0,160000.0,20266.6667,15680.0,11690.6667,7872.0,7392.0,7210.6667,6720.0,6112.0,5781.3333,4842.6667,4832.0,4650.6667,4469.3333,4458.6667,4384.0,4160.0,3584.0,3402.6667,3360.0,2869.3333,2485.3333,2229.3333,1973.3333,1845.3333,1834.6667,1749.3333,1717.3333,1664.0,1600.0,1280.0,1269.3333,1216.0,1120.0,1045.3333,949.3333,874.6667,832.0,576.0
False,2.0,Саратовская область,2,False,75000.0,142000.0,17986.6667,13916.0,10375.4667,6986.4,6560.4,6399.4667,5964.0,5424.4,5130.9333,4297.8667,4288.4,4127.4667,3966.5333,3957.0667,3890.8,3692.0,3180.8,3019.8667,2982.0,2546.5333,2205.7333,1978.5333,1751.3333,1637.7333,1628.2667,1552.5333,1524.1333,1476.8,1420.0,1136.0,1126.5333,1079.2,994.0,927.7333,842.5333,776.2667,738.4,511.2
False,2.0,Новосибирская область,0,False,76500.0,140000.0,17733.3333,13720.0,10229.3333,6888.0,6468.0,6309.3333,5880.0,5348.0,5058.6667,4237.3333,4228.0,4069.3333,3910.6667,3901.3333,3836.0,3640.0,3136.0,2977.3333,2940.0,2510.6667,2174.6667,1950.6667,1726.6667,1614.6667,1605.3333,1530.6667,1502.6667,1456.0,1400.0,1120.0,1110.6667,1064.0,980.0,914.6667,830.6667,765.3333,728.0,504.0
False,2.0,Республика Марий Эл,1,False,135000.0,135000.0,17100.0,13230.0,9864.0,6642.0,6237.0,6084.0,5670.0,5157.0,4878.0,4086.0,4077.0,3924.0,3771.0,3762.0,3699.0,3510.0,3024.0,2871.0,2835.0,2421.0,2097.0,1881.0,1665.0,1557.0,1548.0,1476.0,1449.0,1404.0,1350.0,1080.0,1071.0,1026.0,945.0,882.0,801.0,738.0,702.0,486.0
False,2.0,Ставропольский край,2,False,126000.0,126000.0,15960.0,12348.0,9206.4,6199.2,5821.2,5678.4,5292.0,4813.2,4552.8,3813.6,3805.2,3662.4,3519.6,3511.2,3452.4,3276.0,2822.4,2679.6,2646.0,2259.6,1957.2,1755.6,1554.0,1453.2,1444.8,1377.6,1352.4,1310.4,1260.0,1008.0,999.6,957.6,882.0,823.2,747.6,688.8,655.2,453.6
False,2.0,Республика Мордовия,1,False,100000.0,100000.0,12666.6667,9800.0,7306.6667,4920.0,4620.0,4506.6667,4200.0,3820.0,3613.3333,3026.6667,3020.0,2906.6667,2793.3333,2786.6667,2740.0,2600.0,2240.0,2126.6667,2100.0,1793.3333,1553.3333,1393.3333,1233.3333,1153.3333,1146.6667,1093.3333,1073.3333,1040.0,1000.0,800.0,793.3333,760.0,700.0,653.3333,593.3333,546.6667,520.0,360.0
False,2.0,Кемеровская область,1,False,142000.0,170000.0,21533.3333,16660.0,12421.3333,8364.0,7854.0,7661.3333,7140.0,6494.0,6142.6667,5145.3333,5134.0,4941.3333,4748.6667,4737.3333,4658.0,4420.0,3808.0,3615.3333,3570.0,3048.6667,2640.6667,2368.6667,2096.6667,1960.6667,1949.3333,1858.6667,1824.6667,1768.0,1700.0,1360.0,1348.6667,1292.0,1190.0,1110.6667,1008.6667,929.3333,884.0,612.0
False,2.0,Калужская область,1,False,126000.0,135000.0,17100.0,13230.0,9864.0,6642.0,6237.0,6084.0,5670.0,5157.0,4878.0,4086.0,4077.0,3924.0,3771.0,3762.0,3699.0,3510.0,3024.0,2871.0,2835.0,2421.0,2097.0,1881.0,1665.0,1557.0,1548.0,1476.0,1449.0,1404.0,1350.0,1080.0,1071.0,1026.0,945.0,882.0,801.0,738.0,702.0,486.0
