is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)","Личные установки и ценности, мировоззрение (2043_4)",Дисциплинированность (СК) (593_4),Закрепление подвижного состава (1740_23),Опробование тормозов (составитель поездов) (3673_23)
False,0.0,Брянская область,1,False,17196.5,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Владимирская область,1,False,22000.0,32700.0,12224.7145,8152.7732,6525.7749,3005.0571,2791.6803
False,0.0,Костромская область,1,False,25000.0,39000.0,14579.9347,9723.491,7783.0343,3584.0131,3329.5269
False,0.0,Рязанская область,1,False,19250.0,55000.0,20561.4464,13712.6156,10976.074,5054.3774,4695.4867
False,0.0,Тульская область,1,False,17196.5,46000.0,17196.8461,11468.733,9179.9891,4227.2974,3927.1343
False,0.0,Республика Коми,1,False,20000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,0.0,Липецкая область,1,False,19250.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Орловская область,1,False,22000.0,30962.5,11575.1597,7719.5793,6179.0307,2845.3847,2643.3456
False,0.0,Курская область,2,False,20000.0,39000.0,14579.9347,9723.491,7783.0343,3584.0131,3329.5269
False,0.0,Иркутская область,1,False,25944.0,70000.0,26169.1136,17452.4198,13969.5487,6432.8439,5976.074
False,0.0,Красноярский край,1,False,25944.0,68000.0,25421.4247,16953.7792,13570.4187,6249.0484,5805.329
False,0.0,Хабаровский край,1,False,17196.5,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
False,0.0,Мурманская область,1,False,25944.0,80000.0,29907.5585,19945.6226,15965.1985,7351.8216,6829.7988
False,0.0,Республика Мордовия,1,False,30000.0,40250.0,15047.2403,10035.1414,8032.4905,3698.8853,3436.2425
False,0.0,Забайкальский край,1,False,17000.0,67000.0,25047.5802,16704.4589,13370.8537,6157.1506,5719.9565
False,0.0,Республика Бурятия,1,False,25944.0,61500.0,22991.4356,15333.1974,12273.2463,5651.7129,5250.4078
False,0.0,Архангельская область,1,False,30000.0,65000.0,24299.8912,16205.8184,12971.7238,5973.3551,5549.2115
False,0.0,Ханты-Мансийский автономный округ — Югра,1,False,30210.0,61500.0,22991.4356,15333.1974,12273.2463,5651.7129,5250.4078
False,0.0,Калужская область,1,False,30000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,0.0,Город федерального значения Санкт-Петербург,0,False,54226.5,54226.5,20272.2777,13519.7663,10821.7104,4983.2945,4629.4511
False,0.0,Амурская область,1,False,28500.0,86000.0,32150.6253,21441.5443,17162.5884,7903.2083,7342.0337
False,0.0,Псковская область,1,False,27750.0,36800.0,13757.4769,9174.9864,7343.9913,3381.838,3141.7074
False,0.0,Курганская область,1,False,30000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,0.0,Пензенская область,1,False,15000.0,37200.0,13907.0147,9274.7145,7423.8173,3418.5971,3175.8564
False,0.0,Ямало-Ненецкий автономный округ,1,False,54000.0,80000.0,29907.5585,19945.6226,15965.1985,7351.8216,6829.7988
False,0.0,Город федерального значения Москва,0,False,17196.5,65000.0,24299.8912,16205.8184,12971.7238,5973.3551,5549.2115
False,0.0,Тверская область,1,False,16500.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
False,0.0,Приморский край,1,False,23888.0,88000.0,32898.3143,21940.1849,17561.7183,8087.0038,7512.7787
False,0.0,Московская область,2,False,28000.0,70000.0,26169.1136,17452.4198,13969.5487,6432.8439,5976.074
False,0.0,Республика Саха (Якутия),1,False,50000.0,50000.0,18692.224,12466.0141,9978.249,4594.8885,4268.6243
False,0.0,Новгородская область,1,False,13896.0,42000.0,15701.4682,10471.4519,8381.7292,3859.7064,3585.6444
False,0.0,Сахалинская область,1,False,36800.0,53561.0,20023.4842,13353.8437,10688.8999,4922.1365,4572.6357
False,0.0,Еврейская автономная область,1,False,36800.0,55000.0,20561.4464,13712.6156,10976.074,5054.3774,4695.4867
False,0.0,Томская область,1,False,30000.0,50000.0,18692.224,12466.0141,9978.249,4594.8885,4268.6243
False,2.0,Алтайский край,2,False,16000.0,27500.0,10280.7232,6856.3078,5488.037,2527.1887,2347.7433
False,2.0,Кировская область,1,False,16000.0,16000.0,5981.5117,3989.1245,3193.0397,1470.3643,1365.9598
False,2.0,Оренбургская область,2,False,27500.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,2.0,Волгоградская область,2,False,17196.5,19000.0,7103.0451,4737.0854,3791.7346,1746.0576,1622.0772
False,2.0,Самарская область,0,False,16000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,2.0,Астраханская область,1,False,16000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,2.0,Ростовская область,0,False,32000.0,41000.0,15327.6237,10222.1316,8182.1642,3767.8086,3500.2719
False,2.0,Калининградская область,1,False,16000.0,16000.0,5981.5117,3989.1245,3193.0397,1470.3643,1365.9598
False,2.0,Вологодская область,1,False,21000.0,21000.0,7850.7341,5235.7259,4190.8646,1929.8532,1792.8222
False,2.0,Тюменская область,1,False,23500.0,37500.0,14019.168,9349.5106,7483.6868,3446.1664,3201.4682
False,2.0,Республика Крым,1,False,27700.0,33000.0,12336.8679,8227.5693,6585.6444,3032.6264,2817.292
False,2.0,Ульяновская область,1,False,25000.0,32000.0,11963.0234,7978.249,6386.0794,2940.7287,2731.9195
False,2.0,Свердловская область,0,False,30000.0,35000.0,13084.5568,8726.2099,6984.7743,3216.422,2988.037
False,2.0,Кемеровская область,1,False,35000.0,56700.0,21196.9821,14136.46,11315.3344,5210.6036,4840.6199
False,2.0,Республика Башкортостан,0,False,20000.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
False,2.0,Ярославская область,1,False,35000.0,44000.0,16449.1572,10970.0924,8780.8592,4043.5019,3756.3893
False,2.0,Краснодарский край,0,False,12130.0,44000.0,16449.1572,10970.0924,8780.8592,4043.5019,3756.3893
False,2.0,Омская область,1,False,22998.0,22998.0,8597.6754,5733.8679,4589.5954,2113.4649,1963.3964
False,2.0,Ленинградская область,1,False,17196.5,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
False,2.0,Новосибирская область,0,False,26000.0,44000.0,16449.1572,10970.0924,8780.8592,4043.5019,3756.3893
False,2.0,Нижегородская область,0,False,23250.0,31000.0,11589.1789,7728.9288,6186.5144,2848.8309,2646.547
False,2.0,Челябинская область,0,False,30000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,2.0,Саратовская область,2,False,38000.0,38000.0,14206.0903,9474.1707,7583.4693,3492.1153,3244.1544
False,2.0,Республика Татарстан,0,False,17196.5,17196.5,6428.8166,4287.4362,3431.8192,1580.32,1468.1079
False,2.0,Пермский край,1,False,20000.0,44000.0,16449.1572,10970.0924,8780.8592,4043.5019,3756.3893
False,2.0,Брянская область,1,False,30000.0,34500.0,12897.6346,8601.5498,6884.9918,3170.4731,2945.3507
False,2.0,Республика Коми,1,False,26250.0,26250.0,9813.4176,6544.6574,5238.5808,2412.3165,2241.0277
False,2.0,Липецкая область,1,False,30000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,2.0,Курская область,2,False,21500.0,21500.0,8037.6563,5360.3861,4290.6471,1975.8021,1835.5084
False,2.0,Иркутская область,1,False,30000.0,56423.0,21093.4271,14067.3983,11260.0549,5185.1479,4816.9717
False,2.0,Красноярский край,1,False,45000.0,45000.0,16823.0016,11219.4127,8980.4241,4135.3997,3841.7618
False,2.0,Мурманская область,1,False,50000.0,50000.0,18692.224,12466.0141,9978.249,4594.8885,4268.6243
False,2.0,Забайкальский край,1,False,30000.0,30000.0,11215.3344,7479.6085,5986.9494,2756.9331,2561.1746
False,2.0,Ханты-Мансийский автономный округ — Югра,1,False,40000.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
False,2.0,Город федерального значения Санкт-Петербург,0,False,240.0,54000.0,20187.602,13463.2953,10776.509,4962.4796,4610.1142
False,2.0,Курганская область,1,False,16000.0,16000.0,5981.5117,3989.1245,3193.0397,1470.3643,1365.9598
False,2.0,Ямало-Ненецкий автономный округ,1,False,46000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
False,2.0,Город федерального значения Москва,0,False,35000.0,64000.0,23926.0468,15956.4981,12772.1588,5881.4573,5463.839
False,2.0,Приморский край,1,False,72000.0,72000.0,26916.8026,17951.0604,14368.6786,6616.6395,6146.8189
False,2.0,Московская область,2,False,40000.0,49000.0,18318.3796,12216.6939,9778.6841,4502.9908,4183.2518
False,2.0,Томская область,1,False,30000.0,42000.0,15701.4682,10471.4519,8381.7292,3859.7064,3585.6444
False,2.0,Республика Марий Эл,1,False,40000.0,40000.0,14953.7792,9972.8113,7982.5992,3675.9108,3414.8994
True,1.0,Самарская область,0,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Вологодская область,1,False,48000.0,48000.0,17944.5351,11967.3736,9579.1191,4411.093,4097.8793
True,1.0,Тамбовская область,2,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Чувашская Республика,1,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Свердловская область,0,False,32152.5,65000.0,24299.8912,16205.8184,12971.7238,5973.3551,5549.2115
True,1.0,Республика Башкортостан,0,False,60000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
True,1.0,Ярославская область,1,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Краснодарский край,0,False,60000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
True,1.0,Белгородская область,2,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Омская область,1,False,30000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
True,1.0,Ленинградская область,1,False,44500.0,44500.0,16636.0794,11094.7526,8880.6417,4089.4508,3799.0756
True,1.0,Нижегородская область,0,False,100000.0,100000.0,37384.4481,24932.0283,19956.4981,9189.7771,8537.2485
True,1.0,Челябинская область,0,False,60000.0,60000.0,22430.6688,14959.217,11973.8989,5513.8662,5122.3491
True,1.0,Удмуртская Республика,1,False,52000.0,52000.0,19439.913,12964.6547,10377.379,4778.6841,4439.3692
