is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,"Ответственность , добросовестность (СК) (614_4)",Дисциплинированность (СК) (593_4),Выполнение ремонтных работ (ОПТ) (8285_36),Аккуратность (СК) (575_4),"Личные установки и ценности, мировоззрение (2043_4)",Командность (СК) (1371_4),"ЖКХс Монтаж, установка, замена/ремонт радиаторов отопления (8115_29)",ЖКХс Ремонт и обслуживание сантехнических и теплотехнических систем и  оборудования (6084_29),ЖКХс Ремонт и техническое обслуживание сантехнического и теплотехнического оборудования (6094_29),Склонность к здоровому образу жизни (СК) (1662_4),Коммуникабельность (СК) (617_4),ЖКХ фразы слишком широкой формулировки по монтажу сантехнических систем (2523_29)
False,0.0,Псковская область,1,True,14711.0,14711.0,4330.8737,3080.5085,1376.1002,1019.8509,936.0275,831.2483,649.6311,621.6899,607.7194,481.9843,391.1757,384.1904
False,0.0,Ставропольский край,2,False,9489.0,52000.0,15308.642,10888.8889,4864.1975,3604.9383,3308.642,2938.2716,2296.2963,2197.5309,2148.1481,1703.7037,1382.716,1358.0247
False,0.0,Город федерального значения Севастополь,1,False,9489.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Город федерального значения Севастополь,1,True,16242.0,16242.0,4781.5954,3401.1026,1519.3134,1125.9886,1033.4416,917.7578,717.2393,686.3903,670.9658,532.1453,431.886,424.1738
False,0.0,Воронежская область,2,False,9489.0,50000.0,14719.8481,10470.0855,4677.113,3466.2868,3181.3865,2825.2612,2207.9772,2113.0104,2065.5271,1638.1766,1329.5347,1305.793
False,0.0,Воронежская область,2,True,60000.0,60000.0,17663.8177,12564.1026,5612.5356,4159.5442,3817.6638,3390.3134,2649.5726,2535.6125,2478.6325,1965.812,1595.4416,1566.9516
False,0.0,Липецкая область,1,False,9489.0,40000.0,11775.8784,8376.0684,3741.6904,2773.0294,2545.1092,2260.2089,1766.3818,1690.4084,1652.4217,1310.5413,1063.6277,1044.6344
False,0.0,Липецкая область,1,True,64000.0,64000.0,18841.4055,13401.7094,5986.7047,4436.8471,4072.1747,3616.3343,2826.2108,2704.6534,2643.8746,2096.8661,1701.8044,1671.415
False,0.0,Кабардино-Балкарская Республика,1,False,9489.0,24363.0,7172.3932,5101.6538,2278.9701,1688.9829,1550.1624,1376.6368,1075.859,1029.5855,1006.4487,798.2179,647.8291,636.2607
False,0.0,Новгородская область,1,False,11280.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Новгородская область,1,True,11280.0,11280.0,3320.7977,2362.0513,1055.1567,781.9943,717.7208,637.3789,498.1197,476.6952,465.9829,369.5726,299.943,294.5869
False,0.0,Калининградская область,1,False,9489.0,50000.0,14719.8481,10470.0855,4677.113,3466.2868,3181.3865,2825.2612,2207.9772,2113.0104,2065.5271,1638.1766,1329.5347,1305.793
False,0.0,Карачаево-Черкесская Республика,1,False,9489.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Смоленская область,1,False,11280.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Смоленская область,1,True,8130.0,16242.0,4781.5954,3401.1026,1519.3134,1125.9886,1033.4416,917.7578,717.2393,686.3903,670.9658,532.1453,431.886,424.1738
False,0.0,Республика Марий Эл,1,False,11280.0,27000.0,7948.7179,5653.8462,2525.641,1871.7949,1717.9487,1525.641,1192.3077,1141.0256,1115.3846,884.6154,717.9487,705.1282
False,0.0,Республика Марий Эл,1,True,14711.0,16242.0,4781.5954,3401.1026,1519.3134,1125.9886,1033.4416,917.7578,717.2393,686.3903,670.9658,532.1453,431.886,424.1738
False,0.0,Республика Адыгея,1,False,11280.0,30000.0,8831.9088,6282.0513,2806.2678,2079.7721,1908.8319,1695.1567,1324.7863,1267.8063,1239.3162,982.906,797.7208,783.4758
False,0.0,Республика Адыгея,1,True,20000.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,"иные территории, включая город и космодром Байконур",1,False,13210.0,18000.0,5299.1453,3769.2308,1683.7607,1247.8632,1145.2991,1017.094,794.8718,760.6838,743.5897,589.7436,478.6325,470.0855
False,0.0,Донецкая область,1,False,16242.0,25000.0,7359.924,5235.0427,2338.5565,1733.1434,1590.6933,1412.6306,1103.9886,1056.5052,1032.7635,819.0883,664.7673,652.8965
False,0.0,Луганская область,1,False,20000.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Омская область,1,False,12000.0,60000.0,17663.8177,12564.1026,5612.5356,4159.5442,3817.6638,3390.3134,2649.5726,2535.6125,2478.6325,1965.812,1595.4416,1566.9516
False,0.0,Омская область,1,True,12000.0,20000.0,5887.9392,4188.0342,1870.8452,1386.5147,1272.5546,1130.1045,883.1909,845.2042,826.2108,655.2707,531.8139,522.3172
False,0.0,Город федерального значения Санкт-Петербург,0,False,18000.0,95000.0,27967.7113,19893.1624,8886.5147,6585.9449,6044.6344,5367.9962,4195.1567,4014.7198,3924.5014,3112.5356,2526.1159,2481.0066
False,0.0,Иркутская область,1,False,12000.0,36643.0,10787.5878,7673.1068,3427.669,2540.3029,2331.5109,2070.5209,1618.1382,1548.5408,1513.7422,1200.5541,974.3628,956.9634
False,0.0,Иркутская область,1,True,20000.0,64000.0,18841.4055,13401.7094,5986.7047,4436.8471,4072.1747,3616.3343,2826.2108,2704.6534,2643.8746,2096.8661,1701.8044,1671.415
False,0.0,Пермский край,1,False,14196.5,55000.0,16191.8329,11517.094,5144.8243,3812.9155,3499.5252,3107.7873,2428.7749,2324.3115,2272.0798,1801.9943,1462.4881,1436.3723
False,0.0,Пермский край,1,True,16242.0,18730.0,5514.0551,3922.094,1752.0465,1298.471,1191.7474,1058.3428,827.1083,791.5337,773.7464,613.661,498.0437,489.15
False,0.0,Новосибирская область,0,False,12000.0,65000.0,19135.8025,13611.1111,6080.2469,4506.1728,4135.8025,3672.8395,2870.3704,2746.9136,2685.1852,2129.6296,1728.3951,1697.5309
False,0.0,Новосибирская область,0,True,15150.0,20303.0,5977.1415,4251.4829,1899.1885,1407.5204,1291.8338,1147.2255,896.5712,858.009,838.7279,665.198,539.8708,530.2303
